Latitude,Longitude,Label,Type
51.496283,-0.210726,12,Event
51.4981806,-0.1741009,12,Event
51.5084933,0.0250402,12,Event
51.4981791,-0.1741152,12,Event
53.4668498,-2.2338837,32,Event
51.5357184,-0.1058961,12,Event
51.5073509,-0.1277583,12,Event
51.5005046,-0.1782187,12,Event
51.5318302,-0.1282498,12,Event
51.4950539,-0.211456,12,Event
51.5318302,-0.1282498,12,Event
51.4978095,-0.1745235,12,Event
51.5007013,-0.1290218,12,Event
51.4989034,-0.1789927,12,Event
51.4989034,-0.1789927,12,Event
50.9333259,-1.3992109,15,Event
51.5214064,-0.0841784,12,Event
51.5101095,-0.091093,12,Event
51.5354716,-0.1049709,12,Event
51.483663,-3.167169,34,Event
51.5181986,-0.0904065,12,Event
51.5097573,-0.1191317,12,Event
51.4950539,-0.211456,12,Event
51.5316498,-0.1287455,12,Event
51.5095842,-0.1423075,12,Event
51.425673,-0.5630625,7,Event
51.5099502,-0.1192353,12,Event
50.70962,-3.46831,25,Event
51.5095842,-0.1423075,12,Event
53.345043,-2.639594,16,Event
51.5114864,-0.115997,12,Event
53.7521955,-2.5212606,16,Event
53.695675,-2.6803222,16,Event
51.5208155,-0.0915319,12,Event
51.5214064,-0.0841784,12,Event
52.0522152,1.1633402,24,Event
51.5043555,-0.1258462,12,Event
51.5422672,-0.1035859,12,Event
54.5839293,-5.93172,22,Event
50.868288,-1.328169,15,Event
52.0668203,-2.7222751,0,Event
51.516972,-0.1428562,12,Event
51.516679,-0.1225535,12,Event
53.4799902,-2.2537748,32,Event
51.5214064,-0.0841784,12,Event
51.5005046,-0.1782187,12,Event
52.175826,0.141427,27,Event
52.488656,-1.8872211,29,Event
51.5073509,-0.1277583,12,Event
51.5095842,-0.1423075,12,Event
55.919687,-3.239999,30,Event
52.479815,-1.897966,29,Event
52.9162601,-1.4600482,33,Event
51.5095842,-0.1423075,12,Event
51.5210947,-0.0842658,12,Event
52.6734531,-2.4425397,14,Event
51.5058732,-0.1324844,12,Event
51.5147769,-0.0718591,12,Event
51.5040009,-0.0877942,12,Event
51.5095842,-0.1423075,12,Event
51.505948,-0.132354,12,Event
51.5223939,-0.0821049,12,Event
53.4727941,-2.2983607,32,Event
53.380427,-2.9536276,4,Event
53.4051135,-2.96335,4,Event
51.4986952,-0.1550173,12,Event
53.4648299,-2.2309311,32,Event
51.5182638,-0.0829246,12,Event
51.497711,-0.176295,12,Event
51.5060254,-0.0848154,12,Event
53.78338,-3.057598,13,Event
55.8594376,-4.2555941,6,Event
52.6277912,1.2909797,8,Event
53.7947719,-1.6020708,1,Event
51.5076017,-0.1278165,12,Event
51.5261342,-0.1363956,12,Event
52.2038249,0.1348076,27,Event
51.5181986,-0.0904065,12,Event
51.4506262,-2.5992663,0,Event
51.5807245,-0.0666772,12,Event
53.4728261,-2.2467099,32,Event
51.5097685,-0.1319084,12,Event
51.506049,-0.100194,12,Event
57.4752263,-4.1846329,26,Event
51.50671,-0.106985,12,Event
52.2078473,0.1182858,27,Event
51.5331581,-0.4692108,7,Event
53.559063,-2.8742,16,Event
57.4752263,-4.1846329,26,Event
51.5095842,-0.1423075,12,Event
51.5219656,-0.0848193,12,Event
52.4606699,-1.9126426,29,Event
51.5114864,-0.115997,12,Event
51.5002221,-0.1290273,12,Event
51.5312587,-0.1068565,12,Event
51.5198962,-0.1055593,12,Event
51.4866877,-3.1737458,34,Event
51.5130558,-0.087107,12,Event
55.9458008,-3.1880672,30,Event
52.5431078,-0.2560945,20,Event
51.5148035,-0.1295951,12,Event
52.9429926,-1.1846395,33,Event
52.43299,-1.413739,33,Event
51.5239536,-0.0838665,12,Event
51.4930865,-3.1841499,34,Event
52.6223,1.24134,8,Event
50.9311555,-1.7844253,31,Event
51.5076017,-0.1278165,12,Event
57.4752263,-4.1846329,26,Event
50.8935772,-1.3934831,15,Event
54.5928,-5.93047,22,Event
51.5051173,-0.1123309,12,Event
51.7585237,-1.2544547,9,Event
53.3841238,-2.4958492,16,Event
55.9470294,-3.2021888,30,Event
51.238661,-0.5671116,7,Event
51.4941,0.0828,12,Event
51.4812485,-3.1879878,34,Event
52.3800625,-1.5616976,29,Event
56.1492131,-3.9267942,6,Event
51.5160773,-0.1467663,12,Event
53.8066815,-1.5550328,1,Event
51.5062785,-0.1001928,12,Event
54.9039688,-1.3781995,17,Event
51.5020755,-0.0860136,12,Event
51.5234103,-0.0405323,12,Event
51.5349086,-0.1216933,12,Event
51.5108714,-0.1216722,12,Event
54.0097376,-2.7859802,13,Event
51.5148515,-0.1244877,12,Event
52.2038249,0.1348076,27,Event
51.511,-0.0761,12,Event
52.6223,1.24134,8,Event
51.496283,-0.210726,12,Event
55.8568638,-4.2441131,6,Event
50.7096202,-3.4683104,25,Event
52.228239,0.1530711,27,Event
53.5615,-2.87869,16,Event
51.5147734,-0.071722,12,Event
51.4414014,-0.9443383,9,Event
51.5181986,-0.0904065,12,Event
51.521975,-0.130462,12,Event
57.4752263,-4.1846329,26,Event
51.5002221,-0.1290273,12,Event
52.942611,-1.1858,33,Event
53.4860802,-2.2398322,32,Event
51.5356988,-0.1239221,12,Event
51.5214064,-0.0841784,12,Event
51.7641253,-1.2605795,9,Event
51.4786512,-3.1583741,34,Event
51.4988,-0.1749,12,Event
51.547256,-0.024172,12,Event
51.1246053,0.8974643,28,Event
53.7943972,-1.5624551,1,Event
53.4860802,-2.2398322,32,Event
51.4941,0.0828,12,Event
52.4543747,-1.9335865,29,Event
53.5722059,-2.221113,32,Event
54.60325,-5.967867,22,Event
53.6658708,-1.8425904,1,Event
51.5075,-0.0944,12,Event
52.7671699,-1.2278295,33,Event
50.3643942,-4.1394582,5,Event
51.5265432,-0.1344015,12,Event
54.6038103,-5.9293576,22,Event
51.5889691,-3.0013702,34,Event
54.951234,-1.601357,17,Event
51.2421839,-0.5905421,7,Event
51.73189,-1.2047907,9,Event
52.4508168,-1.9305135,29,Event
52.773619,-1.210086,33,Event
55.8570922,-4.2444689,6,Event
51.5095842,-0.1423075,12,Event
51.5102468,-0.1368078,12,Event
50.3759061,-4.1395777,5,Event
51.8777259,0.9472069,24,Event
51.5108714,-0.1216722,12,Event
53.7948419,-1.7458088,1,Event
52.208859,0.089999,27,Event
51.4643353,-3.1854351,34,Event
51.5160074,-0.1644426,12,Event
54.5838207,-5.9321063,22,Event
51.5278,-0.078,12,Event
55.9469688,-3.2020215,30,Event
51.5155664,-0.1635991,12,Event
51.5349086,-0.1216933,12,Event
51.4987997,-0.1748772,12,Event
51.4364982,-1.0690346,9,Event
51.5238594,-0.0762969,12,Event
51.5227617,-0.130062,12,Event
51.5239536,-0.0838665,12,Event
54.707867,-5.8429079,22,Event
53.9649139,-1.0800959,23,Event
52.4444106,-1.7198103,29,Event
51.4612324,-0.9259474,9,Event
51.5278,-0.1025,12,Event
51.4988393,-0.1248001,12,Event
52.1339469,-0.4657248,18,Event
53.80014,-1.543807,1,Event
