Latitude,Longitude,Label,Type
51.496283,-0.210726,21,Event
51.4981806,-0.1741009,21,Event
51.4936488,-0.2157951,21,Event
51.4981791,-0.1741152,21,Event
53.4668498,-2.2338837,29,Event
51.5357184,-0.1058961,21,Event
52.6734531,-2.4425397,32,Event
51.5005046,-0.1782187,21,Event
53.96612,-1.092502,28,Event
51.4950539,-0.211456,21,Event
51.4989034,-0.1789927,21,Event
51.4989034,-0.1789927,21,Event
50.9333259,-1.3992109,18,Event
51.5214064,-0.0841784,21,Event
52.4508168,-1.9305135,26,Event
51.5101095,-0.091093,21,Event
51.483663,-3.167169,7,Event
51.4987997,-0.1748772,21,Event
51.5181986,-0.0904065,21,Event
51.5247934,-0.0975912,21,Event
51.5181986,-0.0904065,21,Event
51.5097573,-0.1191317,21,Event
51.4950539,-0.211456,21,Event
51.5316498,-0.1287455,21,Event
51.425673,-0.5630625,24,Event
53.3790519,-1.4660659,1,Event
51.5076017,-0.1278165,21,Event
51.5154852,-0.0935251,21,Event
50.70962,-3.46831,7,Event
51.5095842,-0.1423075,21,Event
53.345043,-2.639594,29,Event
51.5114864,-0.115997,21,Event
52.653964,-1.132912,13,Event
52.1853985,0.1351319,31,Event
52.938681,-1.1951732,13,Event
51.5265432,-0.1344015,21,Event
51.5214064,-0.0841784,21,Event
52.0522152,1.1633402,9,Event
51.5043555,-0.1258462,21,Event
54.5839293,-5.93172,10,Event
51.516679,-0.1225535,21,Event
51.51647,-0.1284396,21,Event
52.247736,0.1153625,31,Event
51.5214064,-0.0841784,21,Event
53.4668498,-2.2338837,29,Event
51.5005046,-0.1782187,21,Event
51.5247934,-0.0975912,21,Event
51.5095842,-0.1423075,21,Event
52.479815,-1.897966,26,Event
52.9162601,-1.4600482,13,Event
51.5095842,-0.1423075,21,Event
51.5028312,-0.0882511,21,Event
51.5210947,-0.0842658,21,Event
51.5095842,-0.1423075,21,Event
51.5058732,-0.1324844,21,Event
51.5147769,-0.0718591,21,Event
51.5040009,-0.0877942,21,Event
51.924984,-3.4885652,7,Event
51.525851,-0.133945,21,Event
51.521975,-0.130462,21,Event
50.8225149,-0.1275386,3,Event
51.4846008,-2.5426295,16,Event
54.5070109,-6.763589,12,Event
51.505948,-0.132354,21,Event
51.5223939,-0.0821049,21,Event
53.4727941,-2.2983607,29,Event
51.5070942,-3.1912933,7,Event
53.4051135,-2.96335,11,Event
53.8054238,-1.5536943,1,Event
51.5208906,-0.1058224,21,Event
51.5219,-0.121,21,Event
53.4648299,-2.2309311,29,Event
51.516405,-0.088447,21,Event
51.5182638,-0.0829246,21,Event
51.509013,-0.1390596,21,Event
51.5084601,0.029846,21,Event
54.9673092,-1.6207073,22,Event
51.5060254,-0.0848154,21,Event
56.1492131,-3.9267942,2,Event
55.8594376,-4.2555941,2,Event
52.6277912,1.2909797,9,Event
53.7947719,-1.6020708,1,Event
52.6729149,-2.4415247,32,Event
51.0613679,-1.3105181,18,Event
51.5261342,-0.1363956,21,Event
52.2038249,0.1348076,31,Event
53.3434043,-2.641206,29,Event
51.5181986,-0.0904065,21,Event
53.2608508,-2.1251827,29,Event
51.5807245,-0.0666772,21,Event
52.2129277,0.1030987,31,Event
51.5095842,-0.1423075,21,Event
57.4752263,-4.1846329,19,Event
51.50671,-0.106985,21,Event
55.9472067,-3.187064,14,Event
52.2078473,0.1182858,31,Event
51.50816,0.0271199,21,Event
53.559063,-2.8742,11,Event
57.4752263,-4.1846329,19,Event
51.5349694,-0.1216756,21,Event
52.4606699,-1.9126426,26,Event
51.5114864,-0.115997,21,Event
51.5002221,-0.1290273,21,Event
51.5349086,-0.1216933,21,Event
51.5312587,-0.1068565,21,Event
51.5198962,-0.1055593,21,Event
53.481375,-2.2317599,29,Event
52.4745566,-1.8974956,26,Event
51.449958,-2.5967537,16,Event
51.5130558,-0.087107,21,Event
51.5182129,-0.1230719,21,Event
55.9458008,-3.1880672,14,Event
51.5772652,-3.7670175,7,Event
53.6431171,-1.7770916,1,Event
52.5431078,-0.2560945,15,Event
51.5772652,-3.7670175,7,Event
53.7949981,-1.5461924,1,Event
51.5239536,-0.0838665,21,Event
55.953252,-3.188267,14,Event
53.4763173,-2.2313337,29,Event
57.4752263,-4.1846329,19,Event
50.8935772,-1.3934831,18,Event
54.5928,-5.93047,10,Event
52.9162601,-1.4600482,13,Event
51.5095842,-0.1423075,21,Event
51.5051173,-0.1123309,21,Event
52.9508143,-1.1364618,13,Event
51.6059771,-1.2611524,27,Event
54.333189,-7.616916,23,Event
53.9472502,-1.0298458,28,Event
51.4941,0.0828,21,Event
51.5095842,-0.1423075,21,Event
