Latitude,Longitude,Label,Type
51.5084933,0.0250402,2,Event
51.4936488,-0.2157951,2,Event
53.4668498,-2.2338837,23,Event
51.5357184,-0.1058961,2,Event
51.5005046,-0.1782187,2,Event
51.505948,-0.132354,2,Event
51.5318302,-0.1282498,2,Event
51.4950539,-0.211456,2,Event
51.5318302,-0.1282498,2,Event
51.505948,-0.132354,2,Event
51.4978095,-0.1745235,2,Event
51.5095842,-0.1423075,2,Event
50.9333259,-1.3992109,5,Event
52.4508168,-1.9305135,12,Event
52.9559736,-1.1519593,17,Event
51.5176603,-0.0976617,2,Event
51.5247934,-0.0975912,2,Event
51.5181986,-0.0904065,2,Event
55.9550302,-3.1965051,18,Event
51.4950539,-0.211456,2,Event
51.5316498,-0.1287455,2,Event
51.5095842,-0.1423075,2,Event
51.425673,-0.5630625,2,Event
53.3790519,-1.4660659,13,Event
55.9550589,-3.1965312,18,Event
51.5099502,-0.1192353,2,Event
51.5076017,-0.1278165,2,Event
51.5154852,-0.0935251,2,Event
50.70962,-3.46831,3,Event
51.5095842,-0.1423075,2,Event
53.345043,-2.639594,9,Event
51.5114864,-0.115997,2,Event
52.653964,-1.132912,17,Event
51.5086296,-0.138725,2,Event
52.1853985,0.1351319,21,Event
51.5265432,-0.1344015,2,Event
51.5208155,-0.0915319,2,Event
51.5086296,-0.138725,2,Event
51.5214064,-0.0841784,2,Event
51.5095842,-0.1423075,2,Event
51.5422672,-0.1035859,2,Event
54.5839293,-5.93172,1,Event
51.516972,-0.1428562,2,Event
51.5095842,-0.1423075,2,Event
51.4987997,-0.1748772,2,Event
51.51647,-0.1284396,2,Event
52.247736,0.1153625,21,Event
55.9550302,-3.1965051,18,Event
51.5095842,-0.1423075,2,Event
51.5005046,-0.1782187,2,Event
52.175826,0.141427,21,Event
51.5073509,-0.1277583,2,Event
51.5095842,-0.1423075,2,Event
53.834195,-1.589756,11,Event
51.5095842,-0.1423075,2,Event
51.5225319,-0.0908791,2,Event
52.175826,0.141427,21,Event
52.479815,-1.897966,12,Event
51.5316498,-0.1287455,2,Event
51.5095842,-0.1423075,2,Event
51.5028312,-0.0882511,2,Event
52.1748061,0.1340485,21,Event
51.5095842,-0.1423075,2,Event
51.5095842,-0.1423075,2,Event
51.5058732,-0.1324844,2,Event
50.8322435,-0.138645,22,Event
51.525851,-0.133945,2,Event
51.5095842,-0.1423075,2,Event
51.521975,-0.130462,2,Event
51.522831,-0.115461,2,Event
51.4846008,-2.5426295,14,Event
54.5070109,-6.763589,27,Event
51.505948,-0.132354,2,Event
53.4727941,-2.2983607,23,Event
54.710061,-6.093825,1,Event
51.5070942,-3.1912933,20,Event
51.5015549,-0.1749849,2,Event
51.5219,-0.121,2,Event
51.4986952,-0.1550173,2,Event
53.4648299,-2.2309311,23,Event
51.516405,-0.088447,2,Event
51.5297451,-0.1265806,2,Event
51.5182638,-0.0829246,2,Event
51.497711,-0.176295,2,Event
54.9673092,-1.6207073,6,Event
51.5060254,-0.0848154,2,Event
51.5095842,-0.1423075,2,Event
53.8980422,-1.964407,11,Event
55.9550589,-3.1965312,18,Event
55.8594376,-4.2555941,28,Event
52.6277912,1.2909797,8,Event
53.7947719,-1.6020708,11,Event
55.950544,-3.1744159,18,Event
52.6729149,-2.4415247,0,Event
53.093017,-2.423895,0,Event
51.0613679,-1.3105181,5,Event
51.5261342,-0.1363956,2,Event
52.2038249,0.1348076,21,Event
51.4584172,-2.6029792,14,Event
55.0020615,-1.5964423,6,Event
51.5181986,-0.0904065,2,Event
52.4520382,-1.938154,12,Event
53.4728261,-2.2467099,23,Event
51.5095842,-0.1423075,2,Event
52.2129277,0.1030987,21,Event
51.5095842,-0.1423075,2,Event
57.4752263,-4.1846329,16,Event
51.50671,-0.106985,2,Event
55.9550302,-3.1965051,18,Event
55.9472067,-3.187064,18,Event
52.2078473,0.1182858,21,Event
55.9534813,-3.1965828,18,Event
57.4752263,-4.1846329,16,Event
51.5349694,-0.1216756,2,Event
52.9031283,-1.240952,17,Event
51.5095842,-0.1423075,2,Event
51.567394,-1.789097,15,Event
51.5177277,-0.0609135,2,Event
51.5114864,-0.115997,2,Event
51.5095842,-0.1423075,2,Event
50.821419,-0.147375,22,Event
51.5217392,-0.1218956,2,Event
51.5349086,-0.1216933,2,Event
51.4282746,-0.5623352,2,Event
51.5312587,-0.1068565,2,Event
51.5198962,-0.1055593,2,Event
51.4866877,-3.1737458,20,Event
52.4745566,-1.8974956,12,Event
51.449958,-2.5967537,14,Event
51.5130558,-0.087107,2,Event
51.5182129,-0.1230719,2,Event
55.9458008,-3.1880672,18,Event
51.5331581,-0.4692108,2,Event
53.6431171,-1.7770916,11,Event
52.5431078,-0.2560945,21,Event
51.5148035,-0.1295951,2,Event
53.7949981,-1.5461924,11,Event
52.43299,-1.413739,26,Event
55.953252,-3.188267,18,Event
50.9311555,-1.7844253,5,Event
51.5209223,-0.1383309,2,Event
53.4763173,-2.2313337,23,Event
51.5107902,-0.1217083,2,Event
57.4752263,-4.1846329,16,Event
50.8935772,-1.3934831,5,Event
51.38261,0.5181149,2,Event
51.5095842,-0.1423075,2,Event
51.5051173,-0.1123309,2,Event
51.7585237,-1.2544547,15,Event
52.9508143,-1.1364618,17,Event
53.7968204,-1.547442,11,Event
51.6059771,-1.2611524,15,Event
51.5095842,-0.1423075,2,Event
54.333189,-7.616916,27,Event
51.4941,0.0828,2,Event
51.5095842,-0.1423075,2,Event
51.5095842,-0.1423075,2,Event
52.3800625,-1.5616976,26,Event
51.5160773,-0.1467663,2,Event
53.8066815,-1.5550328,11,Event
51.5209223,-0.1383309,2,Event
51.5062785,-0.1001928,2,Event
54.9039688,-1.3781995,6,Event
51.5265432,-0.1344015,2,Event
53.8008,-1.5491,11,Event
51.5168684,-0.0827126,2,Event
53.4861,-2.2398,23,Event
52.2038249,0.1348076,21,Event
51.511,-0.0761,2,Event
51.5162,-0.0619,2,Event
53.8066815,-1.5550328,11,Event
51.496283,-0.210726,2,Event
50.7096202,-3.4683104,3,Event
51.508115,-3.190981,20,Event
53.4188856,-2.8876725,9,Event
51.7527314,-1.2665994,15,Event
53.4709725,-2.23899,23,Event
52.025241,-0.790589,10,Event
51.5229378,-0.1308206,2,Event
51.5095842,-0.1423075,2,Event
54.1763884,-6.3477844,1,Event
51.5157062,-0.0978829,2,Event
51.5181986,-0.0904065,2,Event
51.4875389,-3.1793292,20,Event
51.3459738,-2.6220385,14,Event
57.4752263,-4.1846329,16,Event
51.4562232,-2.6042532,14,Event
51.5002221,-0.1290273,2,Event
51.4037536,-3.3478767,20,Event
52.942611,-1.1858,17,Event
50.8615761,-1.2347224,5,Event
52.9529178,-1.1846343,17,Event
51.5095842,-0.1423075,2,Event
51.7641253,-1.2605795,15,Event
51.5347849,-0.1182627,2,Event
51.4895,-0.1707,2,Event
51.4988,-0.1749,2,Event
50.9086314,-1.4015651,5,Event
53.9472502,-1.0298458,7,Event
50.1537526,-5.0681146,29,Event
51.547256,-0.024172,2,Event
51.1246053,0.8974643,8,Event
51.3431182,-2.7781734,14,Event
51.4941,0.0828,2,Event
51.4988189,-0.1549714,2,Event
53.5722059,-2.221113,23,Event
53.6658708,-1.8425904,11,Event
51.5177277,-0.0609135,2,Event
51.4978095,-0.1745235,2,Event
51.8964948,-0.4000867,10,Event
51.5636557,0.5518695,8,Event
51.5177277,-0.0609135,2,Event
55.94667,-3.184731,18,Event
51.5095842,-0.1423075,2,Event
51.5265432,-0.1344015,2,Event
54.9672383,-1.6027734,6,Event
50.3759061,-4.1395777,3,Event
54.6038103,-5.9293576,1,Event
55.8674393,-4.2489856,28,Event
50.2765091,-5.2346309,29,Event
52.1066363,-2.3098468,12,Event
55.9466839,-3.185054,18,Event
51.5889691,-3.0013702,20,Event
55.8610787,-4.2892439,28,Event
51.584151,-2.997664,20,Event
51.470977,-0.9643087,15,Event
51.5175,-0.173,2,Event
51.5095842,-0.1423075,2,Event
52.2807326,-1.5029484,26,Event
53.7948419,-1.7458088,11,Event
52.208859,0.089999,21,Event
50.7371369,-3.5351475,3,Event
