Latitude,Longitude,Label,Type
51.496283,-0.210726,13,Event
51.5084933,0.0250402,13,Event
51.4981791,-0.1741152,13,Event
51.5357184,-0.1058961,13,Event
52.6734531,-2.4425397,10,Event
51.5073509,-0.1277583,13,Event
51.5005046,-0.1782187,13,Event
51.4950539,-0.211456,13,Event
51.4978095,-0.1745235,13,Event
51.5007013,-0.1290218,13,Event
51.4989034,-0.1789927,13,Event
50.9333259,-1.3992109,15,Event
51.5214064,-0.0841784,13,Event
51.5101095,-0.091093,13,Event
51.483663,-3.167169,7,Event
52.9559736,-1.1519593,18,Event
51.5181986,-0.0904065,13,Event
51.4950539,-0.211456,13,Event
51.5316498,-0.1287455,13,Event
51.425673,-0.5630625,19,Event
51.5099502,-0.1192353,13,Event
51.5288614,-0.1280872,13,Event
51.5076017,-0.1278165,13,Event
52.653964,-1.132912,18,Event
53.7521955,-2.5212606,20,Event
53.695675,-2.6803222,20,Event
51.5086296,-0.138725,13,Event
51.5086296,-0.138725,13,Event
51.5214064,-0.0841784,13,Event
55.0001551,-7.3049907,4,Event
51.5043555,-0.1258462,13,Event
54.5839293,-5.93172,4,Event
52.0668203,-2.7222751,7,Event
51.5214064,-0.0841784,13,Event
53.4668498,-2.2338837,10,Event
51.5073509,-0.1277583,13,Event
52.175826,0.141427,6,Event
53.380427,-2.9536276,20,Event
53.4051135,-2.96335,20,Event
53.8054238,-1.5536943,0,Event
51.4986952,-0.1550173,13,Event
51.516405,-0.088447,13,Event
51.5297451,-0.1265806,13,Event
51.5182638,-0.0829246,13,Event
53.78338,-3.057598,20,Event
55.8594376,-4.2555941,2,Event
52.2038249,0.1348076,6,Event
51.5181986,-0.0904065,13,Event
57.4752263,-4.1846329,17,Event
52.4606699,-1.9126426,5,Event
51.5002221,-0.1290273,13,Event
51.5217392,-0.1218956,13,Event
51.4282746,-0.5623352,19,Event
51.5182129,-0.1230719,13,Event
55.9458008,-3.1880672,8,Event
55.953252,-3.188267,8,Event
53.468257,-2.23653,10,Event
50.8935772,-1.3934831,15,Event
51.5051173,-0.1123309,13,Event
52.9508143,-1.1364618,18,Event
53.7968204,-1.547442,0,Event
53.3841238,-2.4958492,10,Event
51.238661,-0.5671116,19,Event
51.4941,0.0828,13,Event
52.3800625,-1.5616976,5,Event
51.5160773,-0.1467663,13,Event
51.5209223,-0.1383309,13,Event
54.9039688,-1.3781995,14,Event
53.8008,-1.5491,0,Event
50.82253,-0.137163,19,Event
52.2038249,0.1348076,6,Event
51.496283,-0.210726,13,Event
51.5215833,-0.1136068,13,Event
57.4752263,-4.1846329,17,Event
53.9455,-1.0562,0,Event
51.4037536,-3.3478767,7,Event
51.5214064,-0.0841784,13,Event
53.9608982,-2.0144122,0,Event
51.4786512,-3.1583741,7,Event
50.9086314,-1.4015651,15,Event
51.547256,-0.024172,13,Event
51.4941,0.0828,13,Event
52.4543747,-1.9335865,5,Event
54.60325,-5.967867,4,Event
52.7671699,-1.2278295,18,Event
53.9608982,-2.0144122,0,Event
51.5265432,-0.1344015,13,Event
51.5107324,-0.1169377,13,Event
53.9340583,-2.7509865,20,Event
51.2421839,-0.5905421,19,Event
54.0488582,-2.8043709,20,Event
52.2807326,-1.5029484,5,Event
51.8777259,0.9472069,12,Event
51.5108714,-0.1216722,13,Event
51.4643353,-3.1854351,7,Event
51.5160074,-0.1644426,13,Event
51.5278,-0.078,13,Event
51.5155664,-0.1635991,13,Event
51.4364982,-1.0690346,15,Event
52.1978018,0.1285657,6,Event
50.1717304,-5.1278993,16,Event
53.9649139,-1.0800959,0,Event
51.8342976,-2.3173724,11,Event
51.5215833,-0.1136068,13,Event
52.6724285,-2.4423765,10,Event
51.404098,-3.2753413,7,Event
51.49907,-0.176375,13,Event
54.6252084,-1.3503137,14,Event
55.9470345,-3.1967011,8,Event
52.0733006,-1.0146634,1,Event
51.6182754,-1.4149612,15,Event
52.3785388,-1.2542825,5,Event
51.522175,-0.0835,13,Event
51.3305138,1.3998364,12,Event
52.6420767,-1.1443157,18,Event
55.9480978,-3.1852777,8,Event
52.2071205,0.1175924,6,Event
52.8759608,-1.243911,18,Event
51.7163,-1.218156,15,Event
50.9371957,-1.4047795,15,Event
53.4724766,-2.2394634,10,Event
54.5728788,-1.2338983,14,Event
51.5197736,-0.1183596,13,Event
51.4972946,-0.1765027,13,Event
51.4992237,-0.1748069,13,Event
51.5563039,-2.5649195,7,Event
51.2029753,-1.4867233,15,Event
52.9250287,-1.4540158,18,Event
53.4082,-2.5893,10,Event
51.6889052,-4.1780944,3,Event
55.1311345,-6.6729712,4,Event
52.1966307,-2.2437565,5,Event
54.304568,-2.192379,14,Event
51.512651,-0.084829,13,Event
51.5246243,-0.0856063,13,Event
51.5155664,-0.1635991,13,Event
51.7519296,0.6530964,12,Event
54.304568,-2.192379,14,Event
53.4713748,-2.2413917,10,Event
53.7634781,-2.7101615,20,Event
55.953252,-3.188267,8,Event
51.404098,-3.2753413,7,Event
56.4633316,-2.9739572,8,Event
51.4282746,-0.5623352,19,Event
51.5349086,-0.1216933,13,Event
53.2884346,-3.7379693,20,Event
52.1453998,0.1529269,6,Event
53.475435,-2.245923,10,Event
53.7634781,-2.7101615,20,Event
55.944781,-3.187282,8,Event
51.5046984,-2.5494589,7,Event
51.4928092,-0.1203195,13,Event
54.5952743,-5.8095581,4,Event
50.7836712,0.270926,19,Event
52.7052637,-2.4473049,10,Event
54.969366,-1.6142687,14,Event
51.5245998,-0.0816266,13,Event
50.3745284,-4.1406465,16,Event
51.4941,0.0828,13,Event
53.3810017,-1.4886045,0,Event
50.8420449,-0.1198916,19,Event
53.4833089,-2.2329376,10,Event
51.7521579,-1.2619056,15,Event
55.923077,-3.1717226,8,Event
55.9532225,-3.194747,8,Event
53.462472,-1.967044,10,Event
51.5107902,-0.1217083,13,Event
51.5107902,-0.1217083,13,Event
51.4947429,-0.0631839,13,Event
51.4782085,-3.1826341,7,Event
51.75883,-1.253712,15,Event
50.0490396,-5.1830784,16,Event
51.5180124,-0.1228642,13,Event
50.358529,-4.128035,16,Event
51.5185508,-0.0861143,13,Event
51.4629407,-2.6235847,7,Event
53.4713748,-2.2413917,10,Event
52.194317,0.134587,6,Event
52.4067962,-1.7964631,5,Event
51.4966412,-0.2105574,13,Event
51.5237833,-0.1047939,13,Event
51.5160074,-0.1644426,13,Event
51.5160074,-0.1644426,13,Event
51.4941,0.0828,13,Event
55.9386861,-3.1715222,8,Event
52.6420767,-1.1443157,18,Event
51.104776,-0.198321,19,Event
51.5144918,-0.0803065,13,Event
54.304568,-2.192379,14,Event
51.3581151,-2.9285802,7,Event
53.4840582,-2.2361607,10,Event
52.5886244,-2.130491,5,Event
53.4840582,-2.2361607,10,Event
52.0523817,1.1634152,12,Event
53.5505894,-1.4804747,0,Event
53.7947472,-1.7455882,0,Event
52.3831611,-1.5620634,5,Event
52.4687278,-1.7787558,5,Event
51.5291508,-0.0785026,13,Event
52.4444337,-1.7225726,5,Event
53.7634781,-2.7101615,20,Event
51.5099163,-0.1271412,13,Event
51.5238311,-0.0386544,13,Event
53.4830083,-2.2332104,10,Event
52.3775859,-1.9580451,5,Event
51.4988,-0.1749,13,Event
57.3589462,-2.0589571,9,Event
53.4029753,-2.9797309,20,Event
50.8030046,-0.0569453,19,Event
53.4840582,-2.2361607,10,Event
51.5440454,0.7023711,12,Event
53.9575059,-0.9759675,0,Event
53.7947472,-1.7455882,0,Event
53.7634781,-2.7101615,20,Event
51.4810961,-0.008024,13,Event
51.4769269,-3.176146,7,Event
51.5299717,-0.1276759,13,Event
51.4764667,-3.1809844,7,Event
51.4546264,-0.8933883,15,Event
54.6036348,-5.9275369,4,Event
54.4051786,-1.7360949,14,Event
50.7836712,0.270926,19,Event
51.5195998,-0.1817608,13,Event
53.4840582,-2.2361607,10,Event
53.4840582,-2.2361607,10,Event
51.5248703,-0.1390121,13,Event
53.3809409,-1.4879469,0,Event
52.4133206,-1.7792657,5,Event
52.407999,-1.5057217,5,Event
51.7521579,-1.2619056,15,Event
52.2488408,-0.8098507,1,Event
55.945235,-3.221106,8,Event
52.3800625,-1.5616976,5,Event
52.1966307,-2.2437565,5,Event
52.620681,-1.1106134,18,Event
52.0880131,-2.3415154,5,Event
51.5204932,-0.001091,13,Event
50.7401153,-1.8789531,11,Event
53.7634781,-2.7101615,20,Event
53.7634781,-2.7101615,20,Event
53.7634781,-2.7101615,20,Event
53.7634781,-2.7101615,20,Event
53.7634781,-2.7101615,20,Event
53.7591497,-2.6982799,20,Event
51.4525638,-2.5999901,7,Event
51.4769269,-3.176146,7,Event
51.4525638,-2.5999901,7,Event
51.4546264,-0.8933883,15,Event
51.4546264,-0.8933883,15,Event
51.4546264,-0.8933883,15,Event
51.4546264,-0.8933883,15,Event
51.4546264,-0.8933883,15,Event
51.4546264,-0.8933883,15,Event
51.4546264,-0.8933883,15,Event
51.5074,-0.1278,13,Event
51.5074,-0.1278,13,Event
51.5073509,-0.1277583,13,Event
52.2016671,0.1177882,6,Event
52.6420767,-1.1443157,18,Event
54.603576,-5.927396,4,Event
55.8598446,-4.2594089,2,Event
51.4987997,-0.1748772,13,Event
52.2148976,-0.4588026,1,Event
55.779699,-4.0972186,2,Event
55.9381534,-3.1744922,8,Event
53.4029753,-2.9797309,20,Event
53.4029753,-2.9797309,20,Event
53.4029753,-2.9797309,20,Event
51.5198587,-0.0987102,13,Event
51.5198587,-0.0987102,13,Event
50.8030046,-0.0569453,19,Event
50.8030046,-0.0569453,19,Event
55.8603581,-4.2584732,2,Event
51.4651854,-0.2224293,13,Event
51.4651854,-0.2224293,13,Event
50.82253,-0.137163,19,Event
55.8427116,-4.2687452,2,Event
51.9984682,-0.7438704,1,Event
54.304568,-2.192379,14,Event
53.486285,-2.2400908,10,Event
54.304568,-2.192379,14,Event
51.5151011,-0.0837873,13,Event
53.4840582,-2.2361607,10,Event
51.4947961,-0.3111115,13,Event
51.4947961,-0.3111115,13,Event
51.4947961,-0.3111115,13,Event
51.5073509,-0.1277583,13,Event
56.462018,-2.970721,8,Event
51.5123443,-0.0909852,13,Event
56.462018,-2.970721,8,Event
51.5181986,-0.0904065,13,Event
55.9507534,-3.1767356,8,Event
53.7389905,-0.3328126,18,Event
51.5117321,-0.1232697,13,Event
52.636525,-2.4507477,10,Event
52.6736762,-2.4466238,10,Event
52.6992639,-2.5187145,10,Event
52.7686108,-2.3784951,10,Event
51.5123443,-0.0909852,13,Event
56.462,-2.9707,8,Event
53.3752228,-1.4703932,0,Event
51.513423,-0.076088,13,Event
51.4942539,-0.1414756,13,Event
51.513423,-0.076088,13,Event
51.3397732,0.7378608,12,Event
51.5212714,-0.0841539,13,Event
51.5212714,-0.0841539,13,Event
51.5212714,-0.0841539,13,Event
52.43299,-1.413739,5,Event
53.4643742,-2.2891065,10,Event
52.4869104,-1.8878984,5,Event
55.8427116,-4.2687452,2,Event
55.8427116,-4.2687452,2,Event
54.978252,-1.61778,14,Event
52.6742489,-2.4509921,10,Event
52.6742489,-2.4509921,10,Event
52.3800625,-1.5616976,5,Event
52.3800625,-1.5616976,5,Event
51.5463699,-0.0739332,13,Event
51.5584069,0.0755874,13,Event
51.8904,0.8989,12,Event
52.1966307,-2.2437565,5,Event
52.1957662,-2.2257664,5,Event
51.8904,0.8989,12,Event
52.9250287,-1.4540158,18,Event
53.4029753,-2.9797309,20,Event
53.4029753,-2.9797309,20,Event
53.4029753,-2.9797309,20,Event
52.6741075,-2.4471613,10,Event
52.6741075,-2.4471613,10,Event
53.5448012,-2.630382,20,Event
53.4640662,-2.246924,10,Event
51.5485236,0.5057226,12,Event
57.4776051,-4.2257896,17,Event
51.5250952,-0.0712392,13,Event
51.5076355,-0.0737034,13,Event
57.4776051,-4.2257896,17,Event
57.4776051,-4.2257896,17,Event
